店铺名字,类别,id,月销售,经度,纬度
魔力茶(龙山店),奶茶果汁,E5919489359801228235,0,113.038876,22.848771
竞游手游馆,奶茶果汁,E740067681598709776,48,113.015306,22.96757
甜啦啦,奶茶果汁,E14305853321686776633,183,113.015366,22.970312
royaltea皇茶(吉利购物广场店),奶茶果汁,E1127610204082528506,109,113.01542,22.970189
追光者,奶茶果汁,E7078704788635005457,42,113.015114,22.969882
SOUFFLE曼甜,奶茶果汁,E13517224216170971584,0,113.015668,22.96964
豪乐滋(南庄店),奶茶果汁,E12149048817441826277,0,113.01146,22.969909
解忧先生,奶茶果汁,E10234777792654818601,198,113.006852,22.972185
大口九茶饮,奶茶果汁,E13286100180726229909,19,113.009674,22.97893
royaltea皇茶(绿岛湖店),奶茶果汁,E6176867769924375819,42,113.038487,23.005704
FIRSTPHASE语茶,奶茶果汁,E14827672082192567968,69,113.036373,23.050208
塘头冰室,奶茶果汁,E10740191674762069074,18,113.018749,23.099906
淳手工,奶茶果汁,E13183710724654447095,46,112.999931,23.122265
1314答案茶,奶茶果汁,E10832197296566481781,2,112.999432,23.122435
唯典,奶茶果汁,E7818837256579300031,4,113.00527,23.102717
爵顶好茶(奥园广场店),奶茶果汁,E7281736252651927884,1,112.9995,23.122835
奢茶（狮山店）,奶茶果汁,E289496208529033687,21,112.999654,23.1185
皇茶Royaltea(乐平市场店),奶茶果汁,E13288662150911749270,87,113.021956,23.264089
七钟茶,奶茶果汁,E16660541512340410508,0,113.045384,22.845347
小布汀舒芙蕾(龙山店),奶茶果汁,E4803174191024354434,58,113.047804,22.853323
言荟茶室,奶茶果汁,E3023207007596576569,50,113.033207,22.852451
茶巷,奶茶果汁,E4724495752411656019,125,113.041094,22.848861
大口九,奶茶果汁,E17369830021870001658,51,113.044394,22.849335
听茶休闲奶茶吧,奶茶果汁,E9032200377359851995,38,113.047224,22.851283
鹿角巷(龙山店),奶茶果汁,E17891125884006516311,39,113.044361,22.849257
光合制茶,奶茶果汁,E15495913384748466358,22,113.054945,22.85186
绘茶(龙山店),奶茶果汁,E13534511512022887075,12,113.047693,22.853272
鲲の茶,奶茶果汁,E8597021339656659517,10,113.048484,22.853181
冰雪童话(旺岗店),奶茶果汁,E4512262826148238325,17,113.052104,22.851555
布屋,奶茶果汁,E11396002793404804739,343,113.055476,22.878262
雪洛可,奶茶果汁,E14573367337099484268,3,113.068453,22.879424
手扎奶·奶茶铺,奶茶果汁,E2131954689201445846,21,113.008001,22.963754
Mootea末茶,奶茶果汁,E12879571792462085964,0,113.020912,22.957617
鲸饮屋,奶茶果汁,E11679154590123146725,63,113.039,23.00519
梁小糖(佛山张槎店),奶茶果汁,E16193985138940077661,88,113.053952,23.024049
大口九芝士茶(罗村店),奶茶果汁,E10824031484556410802,488,113.048645,23.059348
卡诺琳(福海广场店),奶茶果汁,E14031991839170855163,54,113.045156,23.044741
谷芋谷气茶空间(罗村店),奶茶果汁,E8900132960417663778,256,113.055817,23.057987
花愿食街饮品店,奶茶果汁,E8691973327896851094,35,113.052626,23.057306
红雨点鲜果奶茶,奶茶果汁,E15792404713859284124,40,113.048642,23.059151
大汗饮食,奶茶果汁,E18438230712105761872,215,113.045916,23.056219
惯茶(罗村店),奶茶果汁,E6993329405095610832,20,113.04914,23.059316
夏日午后,奶茶果汁,E5194373541880933534,5,113.044234,23.044463
欣仪花艺奶茶,奶茶果汁,E2749770129034459998,65,113.049216,23.061474
茶乡里(时代倾城店),奶茶果汁,E8441426022403777635,101,113.050848,23.063533
饮得爽茶饮（罗村店),奶茶果汁,E17802156792313921732,129,113.050587,23.059208
royaltea皇茶,奶茶果汁,E8625762183937092549,46,113.035402,23.090432
龍角港,奶茶果汁,E13222789140372263899,67,113.034924,23.090894
大口九奶茶店(塘头店),奶茶果汁,E3574173219138151495,11,113.018269,23.101114
DAKOUJIU,奶茶果汁,E2197218003854296897,228,113.040665,22.850621
畅饮屋(实赞广场店),奶茶果汁,E6808225444650959475,120,113.041957,22.852723
王子拉茶(龙山店),奶茶果汁,E7264770288619271132,90,113.041749,22.853395
抹简单,奶茶果汁,E17190517397632374056,36,113.068098,22.848014
柠爱冰饮小吃,奶茶果汁,E12885621761307875289,4,113.078124,22.871918
爱果鲜(龙江店),奶茶果汁,E10581571066719662096,51,113.077666,22.870854
滋趣(苏溪店),奶茶果汁,E10107066455031262229,0,113.037568,22.857602
冰雪童话,奶茶果汁,E11566073580743843374,11,113.041553,22.85358
魔力茶(龙江店),奶茶果汁,E8104976285240037504,0,113.079007,22.872054
Little one(龙江店),奶茶果汁,E13485089261684109390,0,113.081293,22.872852
川町太郎(龙江店),奶茶果汁,E3796689021641595069,292,113.075436,22.873823
一茶一会(龙江店),奶茶果汁,E7001477985505138883,0,113.078736,22.871757
YOYO奶茶小食,奶茶果汁,E2735342177611885858,266,113.077514,22.885686
茶记大咖,奶茶果汁,E3306788913104839426,625,113.072318,22.887141
Milk Tea,奶茶果汁,E15974588347422223775,5,113.078811,22.885729
荟茶morete,奶茶果汁,E5878819118904696112,27,113.051862,22.87734
半杯约定(龙江店),奶茶果汁,E10670745579359036754,120,113.07711,22.885676
香吉奶茶,奶茶果汁,E14904739222255434908,0,113.082632,22.88417
奶茶故事(明安路店),奶茶果汁,E8431837789666662739,124,113.040571,22.889814
1314茶(龙江店),奶茶果汁,E13926263433115763867,94,113.072949,22.886779
潮皇地铁站港式奶茶,奶茶果汁,E9546736519829224055,329,113.056118,23.025246
茶派果语(村尾店),奶茶果汁,E15371194078866359514,250,113.055536,23.023299
抹简单奶茶汉堡(禅城店),奶茶果汁,E7252194935851000140,21,113.057271,23.025844
抹简单,奶茶果汁,E8457349103329013567,6,113.066192,23.033208
果然好·鸭脖果汁,奶茶果汁,E8949532097990808184,23,113.072649,23.00843
叹茶HITEA,奶茶果汁,E5299673022602556169,73,113.038329,23.002873
笑颜回奶茶店,奶茶果汁,E14604799159497103288,0,113.066235,23.033525
黑龙茶(福海广场店),奶茶果汁,E7424933221650568731,47,113.044247,23.044392
贡茶(风度广场店),奶茶果汁,E6957933115599287718,71,113.057777,23.059051
小不点茶饮站,奶茶果汁,E11383234375672781542,0,113.061084,23.039363
颐茶,奶茶果汁,E936676018782848986,137,113.032301,23.143851
黑研舍,奶茶果汁,E3820622209598888821,71,113.032301,23.143847
茶言物语,奶茶果汁,E15220138783050797129,9,113.032576,23.144181
书亦烧仙草（佛山狮山大学城店）,奶茶果汁,E17212469071404190853,27,113.0322483,23.14386722
意外餐饮,奶茶果汁,E5573846471504327450,2,113.035847,23.145272
这茶HereTea,奶茶果汁,E16248507306120010790,0,113.032301,23.143847
茶道夫奶茶连锁店,奶茶果汁,E11121365426912371333,97,113.067518,23.167405
恬憩小站-奶茶小吃,奶茶果汁,E8601632442611003707,398,113.073136,22.872043
世代皇茶,奶茶果汁,E8491979330414194327,1522,113.075375,22.872049
茶栈,奶茶果汁,E9681659815162230885,735,113.05879,22.882241
女王甜点,奶茶果汁,E14752708888734103365,522,113.075142,22.874446
兰沁园港式奶茶,奶茶果汁,E12564709817749552860,198,113.067015,22.874641
贡茶(文华花园店),奶茶果汁,E11202323608269894398,132,113.080458,22.868399
