,店铺名字,类别,poiid,ctPoi,经度,纬度
56,猫出没（中山三路店）,咖啡厅,106728419,032993311645349738152990596470664416460_a106728419_c11_e8508656188327723327_nareaid23,23.127454,113.285602
57,CoCo都可（东山店）,奶茶/果汁,41919676,032993311645349738152990596470664416460_a41919676_c12_e8508656188327723327_nareaid23,23.125305,113.295556
58,一些柠檬一些茶（中华广场店）,奶茶/果汁,169194959,032993311645349738152990596470664416460_a169194959_c13_e8508656188327723327_nareaid23,23.123717,113.283394
59,CoCo都可（淘金店）,奶茶/果汁,1710078,032993311645349738152990596470664416460_a1710078_c14_e8508656188327723327_nareaid23,23.139994,113.288046
60,桃记,奶茶/果汁,175525827,032993311645349738152990596470664416460_a175525827_c0_e8508656188327723327_nareaid23,23.14211,113.277575
61,咕噜咕噜（中山四路店）,奶茶/果汁,95814307,032993311645349738152990596470664416460_a95814307_c1_e8508656188327723327_nareaid23,23.12658,113.2736
62,快乐柠檬（小北路店）,奶茶/果汁,192134465,032993311645349738152990596470664416460_a192134465_c2_e8508656188327723327_nareaid23,23.13668,113.272589
63,大葱柠檬茶scallionlemontea（北京路店）,奶茶/果汁,165505016,032993311645349738152990596470664416460_a165505016_c3_e8508656188327723327_nareaid23,23.122818,113.274909
64,MAXPOINT Cafe,咖啡厅,97081465,032993311645349738152990596470664416460_a97081465_c4_e8508656188327723327_nareaid23,23.137294,113.287185
65,环悦艺术空间（东山口店）,咖啡厅,163595551,032993311645349738152990596470664416460_a163595551_c5_e8508656188327723327_nareaid23,23.121888,113.293329
66,茶掂·TG（东华西路店）,奶茶/果汁,165748626,032993311645349738152990596470664416460_a165748626_c6_e8508656188327723327_nareaid23,23.122043,113.279884
67,十号咖啡馆ten cafe,咖啡厅,619457,032993311645349738152990596470664416460_a619457_c7_e8508656188327723327_nareaid23,23.120975,113.299025
68,云上咖啡·艺术会馆,咖啡厅,2558622,032993311645349738152990596470664416460_a2558622_c8_e8508656188327723327_nareaid23,23.120545,113.293162
69,月照心舍,咖啡厅,185547284,032993311645349738152990596470664416460_a185547284_c9_e8508656188327723327_nareaid23,23.113911,113.29137
70,蓝风筝咖啡（东川路店）,咖啡厅,150080808,032993311645349738152990596470664416460_a150080808_c10_e8508656188327723327_nareaid23,23.121008,113.28633
71,大佬峰巴士（中华广场店）,奶茶/果汁,89538765,032993311645349738152990596470664416460_a89538765_c11_e8508656188327723327_nareaid23,23.126348,113.282741
72,CoCo都可（第七中学店）,奶茶/果汁,184837556,032993311645349738152990596470664416460_a184837556_c12_e8508656188327723327_nareaid23,23.12111,113.296653
73,Darling咑柠茶档（白云路店）,奶茶/果汁,175471794,032993311645349738152990596470664416460_a175471794_c13_e8508656188327723327_nareaid23,23.11949,113.281667
74,CoCo都可（署前店）,奶茶/果汁,172466460,032993311645349738152990596470664416460_a172466460_c14_e8508656188327723327_nareaid23,23.122029,113.294651
75,太平洋咖啡（寺右新马路店）,咖啡厅,42904455,032993311645349738152990596470664416460_a42904455_c0_e8508656188327723327_nareaid23,23.119522,113.308858
76,CoCo都可（地王广场店）,奶茶/果汁,193888372,032993311645349738152990596470664416460_a193888372_c1_e8508656188327723327_nareaid23,23.12612,113.283886
77,HappyMeet（地王广场店）,饮品店,103516653,032993311645349738152990596470664416460_a103516653_c2_e8508656188327723327_nareaid23,23.125776,113.283516
78,CoCo都可（中华广场店）,奶茶/果汁,4949647,032993311645349738152990596470664416460_a4949647_c3_e8508656188327723327_nareaid23,23.12631,113.28293
