店铺名字,类别,月销售,经度,纬度,
一夫茶(伦教店),奶茶果汁,144,113.2116,22.878558,
速客时尚饮品,奶茶果汁,39,113.207507,22.881814,
尊皇茶,奶茶果汁,54,113.214397,22.872667,
yiyi茶(伦教店),奶茶果汁,16,113.208698,22.863725,
美滋谷,奶茶果汁,44,113.21178,22.878848,
解忧茶(品峰豪庭店),奶茶果汁,25,113.214282,22.863248,
煌玛莎烘焙,奶茶果汁,14,113.206482,22.879439,
简简单单(滨江店),奶茶果汁,3,113.20463,22.868103,
鸿记冰室,奶茶果汁,0,113.21416,22.86321,
喵小萌,奶茶果汁,1,113.19718,22.874285,
菲茶不可,奶茶果汁,0,113.210966,22.863693,
月亮奶茶(三洪奇店),奶茶果汁,42,113.204028,22.901302,
舞茶夫(伦教店),奶茶果汁,0,113.212438,22.879039,
张阿姨奶茶(北滘店),奶茶果汁,314,113.205447,22.929704,
抹简单,奶茶果汁,43,113.204984,22.902444,
贡茶,奶茶果汁,99,113.209505,22.923857,
在乎你蛋糕(北滘深业城店),奶茶果汁,0,113.215764,22.921799,
茶中坊,奶茶果汁,466,113.201644,22.923499,
Q茶菇娘,奶茶果汁,48,113.205384,22.925405,
北滘宝芝林凉茶,奶茶果汁,70,113.206655,22.92608,
茶千岁(北滘店),奶茶果汁,401,113.215944,22.921803,
无昧轻饮,奶茶果汁,1,113.204205,22.932317,
茶所在,奶茶果汁,528,113.223129,22.925583,
幸福素,奶茶果汁,53,113.210801,22.921752,
解忧答案茶(北滘济虹路店）,奶茶果汁,9,113.211206,22.927456,
休闲吧,奶茶果汁,11,113.22507,22.923604,
正顺凉茶,奶茶果汁,25,113.207825,22.928285,
幸福屋蛋糕甜品,奶茶果汁,159,113.211906,23.037514,
恋茶派对水果茶,奶茶果汁,36,113.199941,23.023186,
fiCHa一夫茶（怡丰城店）,奶茶果汁,20,113.187743,23.0331,
Double橘子,奶茶果汁,108,113.213567,23.074238,
點茶SOMETEA,奶茶果汁,122,113.196593,23.073967,
Taning挞柠·柠檬茶(芳村万象购物街店),奶茶果汁,901,113.234339,23.094011,
1314一杯会说话的茶,奶茶果汁,9,113.233324,23.093993,
可C可D果蔬氧吧,奶茶果汁,61,113.212747,23.076217,
HITEA茶室(悦成路店),奶茶果汁,749,113.232243,23.092805,
美味居小吃店,奶茶果汁,46,113.204261,23.097311,
鹿角巷,奶茶果汁,60,113.210776,23.10056,
圣洛雪,奶茶果汁,20,113.205149,23.093803,
一座一茶,奶茶果汁,27,113.201259,23.115249,
我的烘焙,奶茶果汁,1,113.227405,23.085774,
Lucky皇茶.手抓饼(金沙洲店),奶茶果汁,1816,113.204124,23.136977,
御茶,奶茶果汁,47,113.216196,23.109119,
堂茶,奶茶果汁,37,113.2016,23.112707,
森雪茶,奶茶果汁,10,113.196354,23.138616,
奢茶（大沥店）,奶茶果汁,98,113.204242,23.138021,
快乐番薯(南海大沥万达店),奶茶果汁,169,113.196177,23.139927,
大卡司（国昌店）,奶茶果汁,234,113.201658,23.140384,
CoCo都可（金沙洲万达店）,奶茶果汁,1411,113.197288,23.13894,
熙之茶(金沙洲店),奶茶果汁,470,113.209304,23.161248,
贡茶（国昌店）,奶茶果汁,321,113.202294,23.13959,
悟茶(金沙洲店),奶茶果汁,146,113.208724,23.151414,
果漾多,奶茶果汁,265,113.208595,23.15826,
小鲨糖·茶饮小吃,奶茶果汁,231,113.210271,23.156764,
快乐柠檬（佛山金沙洲万达店）,奶茶果汁,243,113.196697,23.139507,
全民果汁(万达店),奶茶果汁,34,113.19708,23.138818,
大口九（金沙洲沙贝店）,奶茶果汁,78,113.208609,23.151367,
50岚(金沙洲店),奶茶果汁,631,113.195898,23.149704,
雅岛英皇茶(万达广场店),奶茶果汁,35,113.196443,23.139186,
骑士老虎茶·黑糖,奶茶果汁,22,113.202281,23.130973,
臻好时冻酸奶,奶茶果汁,21,113.210466,23.139739,
森茶行(金沙洲店),奶茶果汁,22,113.204129,23.137987,
咔芙奶茶(海北广场店),奶茶果汁,32,113.188997,23.132684,
叙茶时光(万达广场店),奶茶果汁,1,113.196753,23.138741,
黄振龙凉茶,奶茶果汁,229,113.264077,23.121582,
嘻饮力,奶茶果汁,3,113.196794,23.139764,
甜蜜园海南椰奶清补凉,奶茶果汁,39,113.208941,23.141846,
贡茶(金沙洲店),奶茶果汁,511,113.204341,23.136698,
滋啦哆澳洲奶茶,奶茶果汁,84,113.202914,23.141728,
ORDER柠檬茶,奶茶果汁,74,113.201461,23.149414,
米芝莲（金沙洲永旺店）,奶茶果汁,161,113.194986,23.150387,
1点点（横沙店）,奶茶果汁,2089,113.208084,23.156974,
鹿角巷The Alley（广州金沙洲永旺店）,奶茶果汁,95,113.194703,23.150449,
CoCo都可(永旺金沙洲店),奶茶果汁,403,113.196434,23.149,
Koi(广州金沙永旺梦乐城店),奶茶果汁,153,113.194962,23.150558,
7分甜（广州金沙永旺店）,奶茶果汁,45,113.194962,23.150558,
多吃水果 潮式甘草水果·果汁,奶茶果汁,70,113.209116,23.160171,
七钟茶七年锺情為好茶,奶茶果汁,22,113.202281,23.142592,
黄振龙（金沙店）,奶茶果汁,7,113.209433,23.158575,
royaltea皇茶,奶茶果汁,6,113.207961,23.15556,
Mangozi,奶茶果汁,0,113.194962,23.150558,
快乐番薯（南海洲村店）,奶茶果汁,955,113.198179,23.179356,
芋见茶,奶茶果汁,8,113.226916,23.177383,
鹿角巷THEALLEY(永润广场店),奶茶果汁,81,113.194864,23.184106,
张阿姨奶茶(永润广场店),奶茶果汁,478,113.19531,23.184293,
摩咔斯,奶茶果汁,40,113.195158,23.1841575,
DM+咖啡(永润广场店),奶茶果汁,41,113.195732,23.183731,
悦可茶事,奶茶果汁,0,113.230493,23.203902,
岛滋·古法黑糖(石井店),奶茶果汁,1018,113.226814,23.212614,
贡茶(财智广场店),奶茶果汁,38,113.2261,23.21228,
鹿角巷 THE ALLEY(石井店),奶茶果汁,375,113.226819,23.212619,
COMEBUY甘杯,奶茶果汁,223,113.208962,23.27025,
第一站饮品店(神山店),奶茶果汁,4,113.192299,23.332536,
大口九奶茶店炸鸡汉堡(东境店),奶茶果汁,451,113.229421,23.340347,
益禾堂(新花街店),奶茶果汁,1321,113.217399,23.380483,
御堡贡茶（花都店）,奶茶果汁,3698,113.218415,23.394282,
大卡司(花都店),奶茶果汁,709,113.210736,23.381241,
冰叶(云山大道店),奶茶果汁,202,113.209124,23.382097,
皮drink奶茶果汁,奶茶果汁,11,113.217087,23.380632,
1314茶(新世纪广场店),奶茶果汁,18,113.21079,23.38088,
纯纯奶茶,奶茶果汁,5,113.21133,23.386065,
茶工匠,奶茶果汁,17,113.222797,23.380989,
老虎堂黑糖專売(商业大道店),奶茶果汁,6,113.211189,23.376419,
谷芋奶茶(太子步行街店),奶茶果汁,13,113.207866,23.377003,
Taning挞柠柠檬茶(新花街店),奶茶果汁,0,113.21737,23.38061,
古の茶,奶茶果汁,28,113.207365,23.376839,
好时光,奶茶果汁,0,113.216256,23.385733,
江村糖水（邝中店）,奶茶果汁,182,113.202313,23.398772,
四季茶舍(花都店),奶茶果汁,119,113.208373,23.376555,
茶港湾炸鸡汉堡奶茶小吃(花都店),奶茶果汁,20,113.225534,23.399462,
R0SA罗莎蛋糕(大润发店),奶茶果汁,1,113.22745,23.39036,
前度奶茶店,奶茶果汁,35,113.230748,23.395392,
皇茶玛莎RoyalTea(巨鲨店),奶茶果汁,4,113.20419,23.39136,
库玛茶(大润发店),奶茶果汁,36,113.231637,23.395271,
LEMON柠檬雨茶(龙珠路店),奶茶果汁,4,113.224383,23.397564,
IM茶(星缘街店),奶茶果汁,2,113.230737,23.39685,
欧姆茗兴茶,奶茶果汁,13,113.230468,23.395755,
糖巢,奶茶果汁,0,113.204709,23.387799,
森茶(花都店),奶茶果汁,39,113.213422,23.380976,
古&茶(云山大道店),奶茶果汁,0,113.209784,23.38286,
曼岛驱摩仁休闲饮品,奶茶果汁,4,113.20944,23.401668,
darling 哒柠(星缘街店),奶茶果汁,0,113.230898,23.396624,
靖柠茶,奶茶果汁,0,113.228684,23.39313,
益禾堂(桂花路店),奶茶果汁,1248,113.230823,23.39708,
美遇茶(云山店),奶茶果汁,107,113.229851,23.388211,
佐敦道(光之彩广场店),奶茶果汁,115,113.217716,23.399379,
饮吧奶茶(新华店),奶茶果汁,51,113.225639,23.399726,
鲸饮屋(百业广场店),奶茶果汁,69,113.216878,23.400544,
Otea饮品店,奶茶果汁,8,113.22603,23.395796,
星奇布洛(旗岭店),奶茶果汁,0,113.222007,23.468999,
奈斯的茶,奶茶果汁,0,113.227505,23.429799,
壹咕壹咕奶茶,奶茶果汁,0,113.220454,23.469437,
粤品源(旗岭店),奶茶果汁,221,113.223739,23.468807,
堂茶,奶茶果汁,51,113.22372,23.469047,
大口九奶茶鸭脖小吃(旗岭店),奶茶果汁,102,113.223765,23.468851,
REMAI热唛奶茶(旗岭店),奶茶果汁,14,113.223814,23.469357,
茶后の感(旗岭店),奶茶果汁,48,113.220217,23.469456,
皇茶,奶茶果汁,83,113.221792,22.806485,
杯中人(日高卡卡店),奶茶果汁,56,113.236121,22.814363,
芒缘甜品,奶茶果汁,56,113.236348,22.814133,
吾2零茶,奶茶果汁,86,113.223053,22.821475,
JIE  KOU YOU贡茶小吃,奶茶果汁,102,113.222133,22.806635,
茶立方,奶茶果汁,50,113.238404,22.817291,
105茶饮店,奶茶果汁,0,113.239593,22.850698,
夜猫子,奶茶果汁,0,113.251693,22.84809,
陈嘉嘉果茶(荔村店),奶茶果汁,695,113.223822,22.869744,
妙纯奶茶小吃甜品,奶茶果汁,128,113.225435,22.872395,
答案茶,奶茶果汁,27,113.222427,22.87796,
他她偶遇,奶茶果汁,1,113.227639,22.866013,
聚源冷饮快餐厅,奶茶果汁,0,113.233284,22.876415,
DKJ奶茶店,奶茶果汁,1,113.234795,22.876454,
雪蒂斯奶茶果汁,奶茶果汁,45,113.219927,22.907842,
川町太郎（北滘店）,奶茶果汁,667,113.206427,22.928517,
爱尚饮,奶茶果汁,837,113.220362,22.909186,
WOWWOO熊霸港式小食(北滘美的新都荟店),奶茶果汁,239,113.218527,22.929901,
林小媛纯手工甜品,奶茶果汁,87,113.206474,22.923608,
COMEBUY甘杯(北滘商业广场店),奶茶果汁,501,113.214243,22.932107,
乐滋奶茶炸鸡汉堡,奶茶果汁,106,113.2203,22.91084,
水玉丸作,奶茶果汁,385,113.216524,22.930463,
七年钟情为好茶(林头店),奶茶果汁,89,113.222204,22.925615,
lovingtea冧茶(北滘店),奶茶果汁,91,113.206117,22.927186,
BOBO茶,奶茶果汁,108,113.223457,22.92651,
1314一杯会说话的茶,奶茶果汁,381,113.216332,22.930246,
顾小蛮奶茶实验室(广教店),奶茶果汁,142,113.218666,22.908522,
抹简单(广教店),奶茶果汁,47,113.219445,22.912531,
鲜果创作(佛山顺德北滘店),奶茶果汁,60,113.21541,22.932604,
皇茶(林头店),奶茶果汁,101,113.224817,22.925989,
暹香泰茶(广教店),奶茶果汁,124,113.21835,22.908881,
漫诺甜品,奶茶果汁,74,113.22467,22.923805,
鸿记冰室,奶茶果汁,48,113.219155,22.930354,
8090鲜萃茶,奶茶果汁,49,113.21718,22.912147,
华康凉茶（跃进店）,奶茶果汁,49,113.206533,22.926332,
龍茶LONGTEA(林头店),奶茶果汁,48,113.223145,22.925478,
饮得爽（林港店）,奶茶果汁,38,113.229407,22.91228,
佛山市文峰上网服务有限公司（蜂巢网咖）,奶茶果汁,2,113.217066,22.905243,
红猴奶茶店,奶茶果汁,17,113.22593,22.926436,
卡诺琳,奶茶果汁,5,113.224395,22.924481,
老地方餐吧,奶茶果汁,74,113.205523,22.921561,
茶泷堂餐吧(林头店),奶茶果汁,71,113.221304,22.92592,
古的茶,奶茶果汁,61,113.216255,22.929714,
真悦皇茶,奶茶果汁,88,113.216921,22.929761,
AnTea安茶(北滘店),奶茶果汁,11,113.21186,22.925,
艾斯维娜,奶茶果汁,8,113.21985,22.908383,
Together一起茶,奶茶果汁,12,113.224165,22.921962,
优资茶(林头店),奶茶果汁,16,113.224625,22.922211,
洛伊之恋,奶茶果汁,17,113.21961,22.909367,
小确茶,奶茶果汁,727,113.238709,22.96607,
YEAHTEA叶茶(中海花湾店),奶茶果汁,523,113.239424,23.068223,
Royaltea皇茶(芳村店),奶茶果汁,885,113.237172,23.07327,
一座一茶(中海花湾店),奶茶果汁,1440,113.239277,23.068944,
厝内小眷村（江南新地店）,奶茶果汁,1202,113.271869,23.095194,
渴乐奶茶店,奶茶果汁,46,113.21961,23.051953,
布朗烤茶,奶茶果汁,36,113.231701,23.079284,
DKS大卡司(茶滘店),奶茶果汁,394,113.229681,23.092351,
贡茶（茶滘店）,奶茶果汁,155,113.22872,23.09117,
杨小贤甜品店,奶茶果汁,284,113.237443,23.099533,
拾義茶又卷烧饼,奶茶果汁,57,113.232776,23.078591,
普盈士王子拉茶,奶茶果汁,41,113.23076,23.094094,
Hi.TEA茶室(立白中心店),奶茶果汁,123,113.238687,23.101702,
壹方,奶茶果汁,7,113.236158,23.07584,
發囍·茶仔FATHEI TEA(立白中心店),奶茶果汁,96,113.238712,23.101688,
鹿角巷THE ALLEY(芳村1号店),奶茶果汁,137,113.242763,23.091838,
鹿角巷 THE ALLEY(芳村店),奶茶果汁,49,113.242804,23.091758,
圈点站,奶茶果汁,3,113.245615,23.082305,
小吉茶饮（沙涌店）,奶茶果汁,12,113.245439,23.082709,
壹零壹茶铺(中海花湾店),奶茶果汁,589,113.235978,23.068031,
Homie茶室,奶茶果汁,8,113.247237,23.077123,
御可贡茶(芳村万象商业街店),奶茶果汁,192,113.233643,23.094827,
半亩良甜(芳村店),奶茶果汁,64,113.234547,23.071797,
普盈士王子拉茶（荣兴路店）,奶茶果汁,67,113.230299,23.094055,
鹿角巷THE·ALLEY(芳村店),奶茶果汁,108,113.238781,23.097673,
蒲氏柠檬茶(中海花湾壹号店),奶茶果汁,76,113.238004,23.069346,
檬檬茶,奶茶果汁,22,113.24644,23.074731,
原葉OriginalTea(坑口店),奶茶果汁,27,113.23585,23.07603,
T&TEA,奶茶果汁,0,113.237738,23.067552,
FRUITTEA果正宗,奶茶果汁,11,113.237714,23.101304,
茶颜山（荔湾店）,奶茶果汁,38,113.242974,23.096069,
贡茶（仁济西路店）,奶茶果汁,39,113.254811,23.111189,
享物茶,奶茶果汁,1,113.242871,23.097379,
台湾贡茶(河沙店),奶茶果汁,310,113.219461,23.135158,
贡茶(直营河沙店),奶茶果汁,314,113.219673,23.137369,
royaltea皇茶(河沙店),奶茶果汁,62,113.218048,23.135395,
奶昔小姐姐(芳村店),奶茶果汁,41,113.214168,23.107275,
吉麽鲜茶,奶茶果汁,34,113.218689,23.13577,
港熹茶档（荔湾店）,奶茶果汁,33,113.218163,23.13571,
哥伦布,奶茶果汁,34,113.219451,23.138465,
鹿先生,奶茶果汁,11,113.213772,23.107545,
快乐番薯(南海国昌店),奶茶果汁,266,113.201891,23.139941,
益禾堂(松洲店),奶茶果汁,1131,113.22125,23.158417,
OTea茶室(最Hea柠檬茶店),奶茶果汁,95,113.233949,23.158544,
8号铺(松北店),奶茶果汁,33,113.222998,23.158881,
贡茶(财富广场店),奶茶果汁,33,113.208896,23.142389,
暖茶,奶茶果汁,3,113.253791,23.172438,
面包好茶(蛋糕店),奶茶果汁,141,113.258055,23.207101,
嘻茶夫,奶茶果汁,1200,113.209177,23.20117,
CoCo都可(石井广场店),奶茶果汁,254,113.232835,23.210926,
内阁奶茶小吃店(马岗路店),奶茶果汁,65,113.229196,23.200435,
ALSGONGCHA阿里山贡茶(石井国际店),奶茶果汁,39,113.233338,23.210678,
卡西雅,奶茶果汁,33,113.223001,23.210987,
royaltea皇茶,奶茶果汁,45,113.22896,23.211755,
避风塘奶茶小吃店(上步店),奶茶果汁,7,113.239434,23.168919,
柠茶,奶茶果汁,462,113.209603,23.201821,
贡茶,奶茶果汁,79,113.227761,23.212971,
椰小喵(广铁店),奶茶果汁,11,113.209917,23.203008,
逗茶(红星店),奶茶果汁,567,113.224523,23.219175,
贡茶(石井店),奶茶果汁,3387,113.242412,23.205266,
Taning挞柠·柠檬茶(泽德花苑店),奶茶果汁,0,113.237628,23.176885,
御茶贡茶(石槎路店),奶茶果汁,844,113.242902,23.201948,
逸舍の茶品,奶茶果汁,46,113.242824,23.213564,
派度茶饮,奶茶果汁,1,113.22955,23.21518,
抹简单奶茶汉堡,奶茶果汁,45,113.223015,23.235699,
纯心找茶,奶茶果汁,40,113.217143,23.228107,
皇茶,奶茶果汁,41,113.225747,23.196084,
饮乐茶吧,奶茶果汁,0,113.231979,23.211261,
贡茶(万家广场店),奶茶果汁,6,113.226819,23.212619,
邂逅冰城,奶茶果汁,6294,113.210476,23.27056,
泽天贡茶(江高亿达店),奶茶果汁,146,113.23545,23.274603,
素岛泰茶,奶茶果汁,31,113.232932,23.274162,
御质奶茶贡茶,奶茶果汁,525,113.21027,23.270405,
壹品果饮(白云学院店),奶茶果汁,916,113.210072,23.270712,
四季原著(白云学院店),奶茶果汁,2789,113.210197,23.270723,
鹿角巷,奶茶果汁,759,113.210072,23.270712,
蘇小姐,奶茶果汁,4494,113.210477,23.27115,
恕茶(白云学院店),奶茶果汁,3414,113.209736,23.275796,
蔓年青,奶茶果汁,1812,113.209397,23.270824,
茶颜观色(江高店),奶茶果汁,74,113.222368,23.271904,
MoMo茶(高塘店),奶茶果汁,96,113.221891,23.271746,
TOGETHER茶17,奶茶果汁,249,113.210394,23.270273,
帅茶(高塘店),奶茶果汁,53,113.222707,23.271856,
琉璃鲸,奶茶果汁,11,113.209892,23.270988,
STARLEMON星柠乐(江高店),奶茶果汁,28,113.244506,23.278473,
第二站奶茶,奶茶果汁,109,113.209523,23.270334,
好莱屋饮品店,奶茶果汁,314,113.210401,23.270757,
R coffee 车轮饼,奶茶果汁,7,113.210347,23.270509,
DaKa糖水铺,奶茶果汁,19,113.208962,23.27025,
宇制茶宿(大田村店),奶茶果汁,132,113.210259,23.271179,
DO芒,奶茶果汁,1,113.209984,23.270855,
咕噜咕噜(江高店),奶茶果汁,42,113.232597,23.274467,
咕猫柠(江高店),奶茶果汁,23,113.231735,23.278055,
优味奶茶(江村广场店),奶茶果汁,119,113.235723,23.275203,
菓言,奶茶果汁,0,113.229719,23.383788,
1点点（太子步行街店）,奶茶果汁,856,113.208279,23.375302,
柠檬雨茶LEMON(新宝华路店),奶茶果汁,209,113.228892,23.393007,
詩殷原汁鲜蔬果精粹吧,奶茶果汁,1,113.225564,23.401065,
尛珍寶(广百店),奶茶果汁,489,113.23257,23.39857,
一芳台湾水果茶(广州花都来又来店),奶茶果汁,232,113.231657,23.397902,
书亦烧仙草（太子步行街店）,奶茶果汁,235,113.207743,23.376845,
CoCo都可（花都花城广场店）,奶茶果汁,733,113.21443,23.39236,
佐敦道(来又来广场店),奶茶果汁,187,113.232097,23.398173,
良品黑糖（花都骏壹店）,奶茶果汁,55,113.22739,23.405389,
蓓音茶(钻石店),奶茶果汁,39,113.226258,23.405137,
优品5茶,奶茶果汁,17,113.216997,23.381293,
朵柠茶,奶茶果汁,21,113.246812,23.393237,
樂CUP,奶茶果汁,6,113.228205,23.392974,
结棍cafe,奶茶果汁,0,113.217904,23.383684,
8090奶茶酷饮秀全店,奶茶果汁,10,113.21746,23.380651,
澳门皇茶(广百新一城店),奶茶果汁,93,113.233118,23.397909,
良茶铺,奶茶果汁,0,113.22994,23.404899,
柠萌茶饮,奶茶果汁,54,113.243623,23.397173,
新作の茶SunTea(好名显广场店),奶茶果汁,4,113.214379,23.39235,
益禾堂（金城广场店）,奶茶果汁,110,113.20879,23.37735,
Taning挞柠·柠檬茶(花都店),奶茶果汁,118,113.23557,23.428238,
鹿谷製茶（花都店）,奶茶果汁,35,113.232204,23.398578,
伊诺奶茶店,奶茶果汁,12,113.23861,23.401143,
森莎果汁(花都广百店),奶茶果汁,13,113.232931,23.398322,
Lamycake乐美烘焙体验馆,奶茶果汁,13,113.237516,23.399319,
鼎好贡茶（邝中店）,奶茶果汁,3,113.202297,23.39855,
尊茶(融创店),奶茶果汁,36,113.235827,23.428673,
蜜雪冰城(行政二师店),奶茶果汁,4,113.210432,23.399995,
CoCo都可(花都融创店),奶茶果汁,14,113.23397,23.426663,
1点点(骏壹万邦店),奶茶果汁,640,113.226518,23.405863,
咕噜咕噜(星缘街店),奶茶果汁,184,113.230475,23.395765,
快乐番薯(花都万达茂店),奶茶果汁,123,113.234451,23.42592,
快乐柠檬（广州花都来又来广场店）,奶茶果汁,272,113.232101,23.398174,
一芳台湾水果茶(融创乐园店),奶茶果汁,73,113.235699,23.427545,
大卡司奶茶(来又来店),奶茶果汁,7,113.2322,23.398032,
食光隧道(花都融创店),奶茶果汁,48,113.235717,23.428003,
Taning挞柠柠檬茶（花都融创店）,奶茶果汁,0,113.235467,23.429803,
琉璃鲸(花城粤街店),奶茶果汁,45,113.235765,23.428097,
蜜语茶言(融创店),奶茶果汁,16,113.236441,23.428611,
憨逗逗(融创店),奶茶果汁,23,113.236182,23.430603,
茶果魅(融创店),奶茶果汁,16,113.23611,23.427706,
柠檬气泡轻食馆(融创万达店),奶茶果汁,31,113.236174,23.427968,
港初烧仙草,奶茶果汁,6,113.2355,23.42843,
米莫的茶,奶茶果汁,0,113.23397,23.426663,
I Tea 爱茶,奶茶果汁,133,113.255095,22.760581,
右边奶茶(翠竹中路店),奶茶果汁,92,113.254821,22.762116,
石炉堂凉茶,奶茶果汁,37,113.255366,22.760489,
喜蜜先生(粤顺总店),奶茶果汁,42,113.259337,22.752361,
妙茶,奶茶果汁,1,113.249198,22.770406,
茶友会,奶茶果汁,6,113.256835,22.760929,
Dreamtea,奶茶果汁,66,113.245395,22.791047,
韵茶(大良店),奶茶果汁,64,113.266054,22.817588,
果语茶,奶茶果汁,4,113.248503,22.787289,
一喜柠檬茶(大良店),奶茶果汁,1446,113.2655,22.816383,
乌泷台湾鲜焙原生茶,奶茶果汁,165,113.255127,22.820555,
啊爆柠檬茶(步行街店),奶茶果汁,1132,113.254222,22.832705,
茶小鹿,奶茶果汁,454,113.25966,22.834957,
水玉丸作,奶茶果汁,240,113.259404,22.834748,
简爱JaneEyre,奶茶果汁,71,113.262808,22.850149,
谷芋GrainTea(大良店),奶茶果汁,46,113.258284,22.821318,
Super tea,奶茶果汁,43,113.254522,22.833042,
沓茶D@p Tea,奶茶果汁,43,113.258316,22.835072,
星座之约(大良店),奶茶果汁,40,113.259715,22.834895,
台湾每日C,奶茶果汁,14,113.254485,22.833357,
果の蜜饮(大良店),奶茶果汁,11,113.251587,22.821037,
顾小蛮奶茶实验室,奶茶果汁,0,113.260216,22.834875,
山住茶（大良店）,奶茶果汁,75,113.258755,22.8346113,
小布汀舒芙蕾,奶茶果汁,9,113.252948,22.822961,
聚御皇茶(大润发店),奶茶果汁,0,113.257342,22.82205,
Sy Tea,奶茶果汁,970,113.26301,22.830339,
歇脚亭(东乐路店),奶茶果汁,1767,113.257431,22.834919,
小茶日记,奶茶果汁,295,113.252428,22.83824,
桃沏·鲜果轻饮(华都豪庭店),奶茶果汁,306,113.25717,22.837242,
鹿角巷,奶茶果汁,56,113.254223,22.836717,
卡蒂尼意式奶茶,奶茶果汁,20,113.252117,22.838047,
满记甜品(顺德印象城店),奶茶果汁,170,113.270245,22.834548,
木木茶,奶茶果汁,72,113.256607,22.839621,
茶芝果趣(大良店),奶茶果汁,102,113.26929,22.84595,
张阿姨奶茶(大良店),奶茶果汁,195,113.252344,22.837694,
陈嘉嘉果茶(大良店),奶茶果汁,176,113.245918,22.834869,
童子军,奶茶果汁,200,113.251211,22.851323,
名茶,奶茶果汁,0,113.251481,22.843232,
夏壹道柠檬茶(华盖路店),奶茶果汁,25,113.252298,22.837626,
丸茶,奶茶果汁,3,113.2709229,22.8342809,
Milk(大良店),奶茶果汁,86,113.259446,22.837734,
喜点,奶茶果汁,360,113.254081,22.844385,
Lemonbaby柠檬宝贝,奶茶果汁,111,113.255889,22.835075,
瑶帮贡茶(丹桂店),奶茶果汁,564,113.258084,22.849964,
七钟茶(青少年宫店),奶茶果汁,47,113.252475,22.8382814,
夏茉茶饮,奶茶果汁,94,113.259318,22.85004,
夜茶,奶茶果汁,86,113.24424,22.846962,
咕噜茶果乐（蓬莱路店）,奶茶果汁,85,113.249304,22.845112,
瑶帮贡茶(福盈酒店旁店),奶茶果汁,234,113.251133,22.850939,
大卡司DAKAXI(桂畔店),奶茶果汁,101,113.244733,22.853728,
守望岛西米露哥哥,奶茶果汁,51,113.250891,22.843393,
嚮茶（新基店）,奶茶果汁,55,113.250153,22.847387,
陌陌茶,奶茶果汁,13,113.243708,22.847123,
谈文论秀奶茶甜品小吃,奶茶果汁,58,113.251122,22.842224,
鹿角戏(大良店),奶茶果汁,50,113.246646,22.844501,
御食坊贡茶,奶茶果汁,64,113.250438,22.849656,
茶唛（大良店）,奶茶果汁,65,113.258626,22.841109,
恋茶派对,奶茶果汁,52,113.249434,22.846378,
royaltea皇茶,奶茶果汁,59,113.268104,22.881533,
冰之客,奶茶果汁,55,113.271868,22.877158,
宝芝林凉茶(碧江金楼店),奶茶果汁,0,113.261651,22.942104,
时尚美食(陈村店),奶茶果汁,171,113.225054,22.965505,
CoCo都可(陈村顺联广场店),奶茶果汁,423,113.241506,22.952478,
lovingtea冧茶(百花路店),奶茶果汁,86,113.23071,22.958863,
熊小白,奶茶果汁,135,113.230501,22.957424,
康芝宝凉茶行,奶茶果汁,45,113.229346,22.961053,
茶语欧麦面包茶饮蛋糕,奶茶果汁,82,113.23056,22.958279,
四叶草,奶茶果汁,21,113.23168,22.959846,
520奶茶店,奶茶果汁,82,113.23804,22.965797,
甜逗留,奶茶果汁,1,113.250449,23.033865,
占卜答案茶(西朗店),奶茶果汁,11,113.230423,23.060771,
新作の茶（荔胜广百广场店）,奶茶果汁,353,113.233095,23.078658,
书亦烧仙草(广州浣南东街店),奶茶果汁,396,113.231732,23.078856,
CoCo都可（万象店）,奶茶果汁,757,113.2343159,23.09540027,
星涌吧,奶茶果汁,66,113.243482,23.081923,
茶桂坊,奶茶果汁,54,113.254227,23.062844,
透明实验室·奶茶.花茶.水果茶饮品,奶茶果汁,13,113.237884,23.072917,
1828王老吉(万象城店),奶茶果汁,62,113.234339,23.095156,
塔斯王子拉茶(中海花湾店),奶茶果汁,103,113.239202,23.069186,
HiTea茶室(坑口店),奶茶果汁,227,113.232034,23.07892,
楊夫烤奶,奶茶果汁,79,113.237624,23.073317,
悟茶（芳村店）,奶茶果汁,43,113.251414,23.061358,
大口九茶饮,奶茶果汁,56,113.252657,23.062145,
莫芮塔塔&水果茶(芳村店),奶茶果汁,16,113.240475,23.100818,
PLANTEA茶计划(中海花湾店),奶茶果汁,14,113.239254,23.069128,
1点点（芳村荣兴店）,奶茶果汁,2035,113.2327755,23.09401866,
柠檬·茶时间,奶茶果汁,25,113.243558,23.095476,
茶寄奶茶店(坑口店),奶茶果汁,51,113.235606,23.073023,
御制贡茶,奶茶果汁,52,113.23952,23.07899,
觅茶,奶茶果汁,25,113.244642,23.080102,
乐茶,奶茶果汁,10,113.2364,23.077057,
珍芝堂1962(中海花湾店),奶茶果汁,88,113.237545,23.068426,
广芳园老香港茶点(芳村店),奶茶果汁,68,113.237701,23.073263,
小确茶(芳村店),奶茶果汁,1,113.233024,23.093686,
咕噜咕噜（芳村店）,奶茶果汁,483,113.231932,23.092085,
有间掂·茶饮·简餐·轻食,奶茶果汁,208,113.254062,23.132238,
柠道,奶茶果汁,56,113.24856,23.127761,
BIG BIG柠檬茶(陈家祠店),奶茶果汁,102,113.24722,23.128668,
乌龙站(西华路店),奶茶果汁,0,113.248526,23.131299,
