店铺名字,类别,月销售,经度,纬度,
贡茶茶思语·炸鸡汉堡(高丰店),奶茶果汁,25,112.902367,22.884057,
一些柠檬一些茶,奶茶果汁,0,112.889518,22.892467,
Royaltea皇茶(金沙店),奶茶果汁,45,112.922285,23.108007,
茶颜山(广海大道西店),奶茶果汁,83,112.883816,23.170348,
果度,奶茶果汁,30,112.898886,23.165343,
拼茶,奶茶果汁,13,112.889983,23.153348,
乌铁茶集(三水店),奶茶果汁,29,112.891238,23.157641,
鹿角巷TheAlley(三水万达广场店),奶茶果汁,47,112.904578,23.177658,
一夫茶(三水万达广场店),奶茶果汁,42,112.905021,23.1769327,
1314茶(三水万达店),奶茶果汁,36,112.90503,23.177899,
LPXTEA皇茶(三水万达店),奶茶果汁,38,112.902956,23.177689,
奉茶,奶茶果汁,12,112.904208,23.177946,
Sweetheart,奶茶果汁,21,112.900566,23.160567,
一盏茶,奶茶果汁,243,112.89086,23.153833,
牵思小馆,奶茶果汁,0,112.90575,23.163694,
琉璃鲸,奶茶果汁,37,112.905098,23.178114,
龍福贡茶,奶茶果汁,35,112.905673,23.16553,
吉时茶饮店,奶茶果汁,14,112.904761,23.177951,
乌泷茶(三水万达店),奶茶果汁,6,112.904004,23.176674,
有嘢饮,奶茶果汁,1,112.894297,23.161667,
鲜滋味美食饮品(丹灶店),奶茶果汁,70,112.912709,23.042676,
梵茶,奶茶果汁,10,112.91786,23.208223,
膳匠咖啡牛扒,奶茶果汁,2,112.914413,23.038218,
热力咖啡,奶茶果汁,6,112.938145,23.273437,
Gotcha贡茶,奶茶果汁,123,113.01462,22.841457,
royaltea皇茶新世纪,奶茶果汁,76,112.982582,22.950397,
GONGCHA(恒邦广场店),奶茶果汁,41,112.972135,22.961319,
CoCo都可(万民广场店),奶茶果汁,568,112.985727,23.088056,
萌莱客奶茶特色鱼粉,奶茶果汁,44,112.962752,23.135352,
DRINKCHA尊茶,奶茶果汁,61,112.989112,23.173273,
贡茶,奶茶果汁,76,112.985296,23.171564,
CoCo都可(樵岭国际店),奶茶果汁,322,112.98678,22.94153,
大口九(江浦店),奶茶果汁,68,112.983832,22.940849,
royaltea皇茶(金典广场店）,奶茶果汁,50,112.987049,22.939271,
royaltea皇茶(江浦西路店),奶茶果汁,76,112.978739,22.939488,
茶多啡(大德市场店),奶茶果汁,52,112.989783,22.954223,
小萌柠檬茶,奶茶果汁,3,113.008759,22.966988,
ALSGONGCHA,奶茶果汁,2,112.986849,22.94157,
一只酸奶牛（南海西樵店）,奶茶果汁,27,112.990143,22.942046,
蜜源,奶茶果汁,36,113.007228,22.965394,
CoCo都可（吉利购物广场店）,奶茶果汁,1244,113.0162995,22.96926037,
大口九.奶茶.饮品.小吃(吉利店),奶茶果汁,379,113.0098232,22.96906827,
麦室FRUITTEA(南庄店),奶茶果汁,120,113.007583,22.964983,
欢乐柠檬茶(南庄吉利广场店),奶茶果汁,131,113.016,22.969476,
御制贡茶,奶茶果汁,49,112.981113,23.089715,
贡茶(小塘上林苑店),奶茶果汁,50,112.986631,23.088013,
小确茶,奶茶果汁,28,112.985977,23.089498,
张阿姨奶茶（小塘店）,奶茶果汁,33,112.979901,23.091518,
甜蜜转身茶饮,奶茶果汁,8,113.004538,23.081167,
KADEN卡登,奶茶果汁,458,112.998837,23.118003,
GATHERTEA初心茶(和富广场店),奶茶果汁,860,113.010545,23.126101,
芝士茶语CHEESE TEA(长华国际店),奶茶果汁,149,112.998839,23.117968,
贡茶(和信广场店),奶茶果汁,126,113.005079,23.121771,
