店铺名字,类别,纬度,经度
全民果汁（西湖路店）,奶茶/果汁,23.12326,113.267542
黑泷堂,奶茶/果汁,23.122938,113.265635
黎恩凉茶（广卫路店）,凉茶,23.127194,113.265623
木上缤菓（北京路店）,冰淇淋,23.119375,113.269824
漫UU咖啡MANUU,咖啡厅,23.119613,113.27006
黎恩凉茶（大南店）,凉茶,23.120368,113.267945
Darling咑柠茶档（天河城百货店）,奶茶/果汁,23.123742,113.269157
太平洋咖啡（解放北路店）,咖啡厅,23.136857,113.262053
红茶馆,奶茶/果汁,23.119601,113.270047
大卡司（光明广场店）,奶茶/果汁,23.122092,113.26718
Hitea茶室（文德路店）,奶茶/果汁,23.12484,113.272779
一只酸奶牛（北京路店）,奶茶/果汁,23.121551,113.269174
一些柠檬一些茶（百灵路店）,奶茶/果汁,23.13061,113.259369
大葱柠檬茶scallionlemontea（西华路店）,奶茶/果汁,23.129536,113.253526
Mimo米莫的茶,奶茶/果汁,23.141902,113.257624
一些柠檬一些茶（西华路店）,奶茶/果汁,23.13004,113.251449
CoCo都可（大北店）,奶茶/果汁,23.131061,113.261302
么咪喵猫主题咖啡,咖啡厅,23.120343,113.267944
黎恩凉茶（净慧路店）,凉茶,23.129762,113.258389
太平洋咖啡Pacific Coffee（东风西店）,咖啡厅,23.13263,113.251992
快乐柠檬（景点一店）,奶茶/果汁,23.1254,113.26714
壹柒零-台湾冬瓜奶茶（文明路店）,奶茶/果汁,23.122143,113.270739
联合书店·UN Bookcafe（北京路店）,咖啡厅,23.124766,113.269011
佳琳荟（粤海仰忠汇店）,饮品店,23.119607,113.270033
黎恩凉茶（惠福西路店）,凉茶,23.119888,113.260621
太平洋咖啡（大德路店）,咖啡厅,23.117496,113.257083
太平洋咖啡（西门口店）,咖啡厅,23.12559,113.25267
R.C.C.—红咖啡特饮,咖啡厅,23.137344,113.28817
皇茶宇治抹茶（仰忠汇店）,奶茶/果汁,23.119626,113.270187
月照心舍,咖啡厅,23.113911,113.29137
